Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_Elec_8x6.2,1,100u,C178539
"C10, C18, C28, C29, C30, C31, C34, C35, C36, C39, C7, C8",0402,12,100n,C1525
"C11, C44",0402,2,220n,C16772
C12,0603,1,4u7,C19666
"C13, C50, C51, C52, C53, C54, C57, C58, C59, C60, C61, C62, C63, C64, C65",0805,15,22u,C45783
"C14, C16, C19, C2, C21, C24, C26, C4, C66, C68",0402,10,100n,C307331
"C15, C20, C25, C3, C6, C67, C9",0402,7,2u2,C12530
"C17, C22, C27, C5, C69",0402,5,22n,C1532
C23,0603,1,100n,C14663
"C32, C33",0402,2,12p,C1547
"C37, C38, C46, C47, C48, C49",0402,6,1u,C52923
"C40, C41, C42, C43",1206,4,47u,C96123
C45,0805,1,2u2,C377773
C55,0402,1,10u,C15525
"D1, D12, D14, D27, D3, D6, D9",0603,7,GLED,C72043
"D10, D13, D28, D4, D7",0603,5,RLED,C2286
"D11, D2, D26, D5, D8",0603,5,WLED,C2290
FB1,0805,1,FerriteBead,
J1,PinSocket_2x20_P2.54mm_Vertical,1,Conn_02x20_Odd_Even,C35165
"J14, J15, J16, J17, J18",PinHeader_1x04_P2.54mm_Vertical,5,Conn_01x04_Pin,C6332197
"J2, J5",JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,2,Conn_01x04_MountingPin,C160404
"J20, J26, J27, J28, J29","TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",5,Screw_Terminal_01x02,C8404
"J21, J22, J23, J24, J25",PinHeader_1x03_P2.54mm_Vertical,5,Conn_01x03_Pin,C6332196
J3,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,1,Conn_01x02_Pin,C431092
"J4, J6, J7, J8, J9",PinHeader_1x02_P2.54mm_Vertical,5,Conn_01x02_Pin,C492401
L1,L_Changjiang_FXL0630,1,330nH,C167211
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R22, R23, R27, R3, R4, R5, R50, R59, R6, R60, R61, R62, R63, R9",0402,28,1k,C11702
"R24, R26, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48, R51, R52, R54, R55, R56, R7, R8",0402,30,10k,C25744
R25,1210,1,R_Photo,C2904880
R49,0402,1,243k,
R53,0402,1,75k,C25798
"SW1, SW2",TS-1088,2,SW_Push,C720477
"U1, U30, U4, U5, U6",HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm,5,DRV8874PWPR,C1855818
U2,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,ICM-42688-P,C1850418
U3,LGA-16_3x3mm_P0.5mm,1,QMC5883L,C976032
U7,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,STM32G431CBUx,C529356
U8,SOIC-16_3.9x9.9mm_P1.27mm,1,74HC595,C110383
U9,TPS548B28RWWR,1,TPS548B28RWWR,C3188716
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,C13738
